date,year,quarter_quarterly,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1727740800000,2024,4,1,1673973,969269,2643242
1727740800000,2024,4,2,738241,440536,1178777
1727740800000,2024,4,3,282942,11786,294728
1727740800000,2024,4,4,795538,443866,1239404
1727740800000,2024,4,5,593957,106680,700637
1727740800000,2024,4,6,2665320,809188,3474508
1727740800000,2024,4,7,1029952,343318,1373270
1727740800000,2024,4,8,81384,1524,82908
1727740800000,2024,4,9,1502923,748470,2251393
1727740800000,2024,4,10,1177240,479510,1656750
1727740800000,2024,4,11,1588569,272906,1861475
1727740800000,2024,4,12,1734063,820374,2554437
1727740800000,2024,4,13,503991,42993,546984
1727740800000,2024,4,14,3066307,3075771,6142078
1727740800000,2024,4,15,106183,15866,122049
1727740800000,2024,4,16,155469,51026,206495
1727740800000,2024,4,18,17696052,8633083,26329135
1727740800000,2024,4,19,14824060,7864801,22688861
1735689600000,2025,1,1,1907604,671716,2579320
1735689600000,2025,1,2,879742,608214,1487956
1735689600000,2025,1,3,335153,18735,353888
1735689600000,2025,1,4,795314,434410,1229724
1735689600000,2025,1,5,455413,123436,578849
1735689600000,2025,1,6,2794296,750185,3544481
1735689600000,2025,1,7,1029130,235131,1264261
1735689600000,2025,1,8,82885,2952,85837
1735689600000,2025,1,9,1283470,813375,2096845
1735689600000,2025,1,10,1082021,873862,1955883
1735689600000,2025,1,11,1197673,322741,1520414
1735689600000,2025,1,12,1528770,837435,2366205
1735689600000,2025,1,13,501351,74848,576199
1735689600000,2025,1,14,2208370,2963404,5171774
1735689600000,2025,1,15,98667,14991,113658
1735689600000,2025,1,16,139542,59246,198788
1735689600000,2025,1,18,16319401,8804681,25124082
1735689600000,2025,1,19,13941040,7593087,21534127
1743465600000,2025,2,1,1801662,904191,2705853
1743465600000,2025,2,2,808943,483050,1291993
1743465600000,2025,2,3,375556,14509,390065
1743465600000,2025,2,4,865256,382085,1247341
1743465600000,2025,2,5,482419,113992,596411
1743465600000,2025,2,6,2177489,789228,2966717
1743465600000,2025,2,7,1074979,200520,1275499
1743465600000,2025,2,8,82986,1923,84909
1743465600000,2025,2,9,1082490,969070,2051560
1743465600000,2025,2,10,982088,724798,1706886
1743465600000,2025,2,11,1432651,291175,1723826
1743465600000,2025,2,12,1503926,859017,2362943
1743465600000,2025,2,13,662095,72391,734486
1743465600000,2025,2,14,2569476,3104459,5673935
1743465600000,2025,2,15,106966,11885,118851
1743465600000,2025,2,16,139679,56193,195872
1743465600000,2025,2,18,16148661,8978486,25127147
1743465600000,2025,2,19,13626956,7950628,21577584
1751328000000,2025,3,1,1968608,805457,2774065
1751328000000,2025,3,2,790389,513763,1304152
1751328000000,2025,3,3,403496,17458,420954
1751328000000,2025,3,4,910661,415986,1326647
1751328000000,2025,3,5,560211,131099,691310
1751328000000,2025,3,6,2865061,794065,3659126
1751328000000,2025,3,7,1188105,230658,1418763
1751328000000,2025,3,8,78873,1800,80673
1751328000000,2025,3,9,1440793,848311,2289104
1751328000000,2025,3,10,1139165,961885,2101050
1751328000000,2025,3,11,1570339,353542,1923881
1751328000000,2025,3,12,1640543,972273,2612816
1751328000000,2025,3,13,725292,98416,823708
1751328000000,2025,3,14,2329764,3563079,5892843
1751328000000,2025,3,15,117568,11659,129227
1751328000000,2025,3,16,137126,55170,192296
1751328000000,2025,3,18,17865994,9774621,27640615
1751328000000,2025,3,19,15038922,8447535,23486457
1759276800000,2025,4,1,1854364,906351,2760715
1759276800000,2025,4,2,841403,520998,1362401
1759276800000,2025,4,3,287215,13815,301030
1759276800000,2025,4,4,922134,445882,1368016
1759276800000,2025,4,5,634503,135036,769539
1759276800000,2025,4,6,2751510,732478,3483988
1759276800000,2025,4,7,1038111,306991,1345102
1759276800000,2025,4,8,84371,1787,86158
1759276800000,2025,4,9,1588103,872294,2460397
1759276800000,2025,4,10,1319964,493716,1813680
1759276800000,2025,4,11,1572881,258531,1831412
1759276800000,2025,4,12,1747464,899692,2647156
1759276800000,2025,4,13,532976,33182,566158
1759276800000,2025,4,14,3108861,3784761,6893622
1759276800000,2025,4,15,101816,16735,118551
1759276800000,2025,4,16,156929,48506,205435
1759276800000,2025,4,18,18542605,9470755,28013360
1759276800000,2025,4,19,15547944,8701773,24249717
1767225600000,2026,1,1,1671116,619148,2290264
1767225600000,2026,1,2,663448,655094,1318542
1767225600000,2026,1,3,322083,13271,335354
1767225600000,2026,1,4,796162,412121,1208283
1767225600000,2026,1,5,509812,121795,631607
1767225600000,2026,1,6,2106030,649698,2755728
1767225600000,2026,1,7,1052266,243130,1295396
1767225600000,2026,1,8,79844,2055,81899
1767225600000,2026,1,9,1205594,967742,2173336
1767225600000,2026,1,10,1033898,689242,1723140
1767225600000,2026,1,11,1168961,259166,1428127
1767225600000,2026,1,12,1427371,1051718,2479089
1767225600000,2026,1,13,479266,75676,554942
1767225600000,2026,1,14,2267764,3006280,5274044
1767225600000,2026,1,15,80551,21053,101604
1767225600000,2026,1,16,149806,43476,193282
1767225600000,2026,1,18,15013972,8830665,23844637
1767225600000,2026,1,19,12730562,7861204,20591766
