date,year,quarter_cumulative,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1711929600000,2024,2,12,2770787,1654757,4425544
1711929600000,2024,2,13,1209781,140760,1350541
1711929600000,2024,2,14,4434812,5794475,10229287
1711929600000,2024,2,15,178966,23375,202341
1711929600000,2024,2,16,259812,119554,379366
1711929600000,2024,2,18,30149205,16689263,46838468
1711929600000,2024,2,19,25538424,14546310,40084734
1719792000000,2024,3,1,5408387,2252173,7660560
1719792000000,2024,3,2,2138239,1504632,3642871
1719792000000,2024,3,3,1115584,46884,1162468
1719792000000,2024,3,4,2584083,1093544,3677627
1719792000000,2024,3,5,1444417,344027,1788444
1719792000000,2024,3,6,7201363,2147008,9348371
1719792000000,2024,3,7,3202568,618174,3820742
1719792000000,2024,3,8,233493,6905,240398
1719792000000,2024,3,9,3561664,2430926,5992590
1719792000000,2024,3,10,2928672,2458701,5387373
1719792000000,2024,3,11,4193457,972983,5166440
1719792000000,2024,3,12,4355584,2611852,6967436
1719792000000,2024,3,13,1908527,238586,2147113
1719792000000,2024,3,14,6714775,9053669,15768444
1719792000000,2024,3,15,293602,36112,329714
1719792000000,2024,3,16,400358,170567,570925
1719792000000,2024,3,18,47684773,25986743,73671516
1719792000000,2024,3,19,40269042,22518947,62787989
1727740800000,2024,5,1,7082360,3221442,10303802
1727740800000,2024,5,2,2876480,1945168,4821648
1727740800000,2024,5,3,1398526,58670,1101868
1727740800000,2024,5,4,3481179,1539516,5020695
1727740800000,2024,5,5,2038374,450707,2489081
1727740800000,2024,5,6,9866683,2956196,12822879
1727740800000,2024,5,7,4232520,961492,5194012
1727740800000,2024,5,8,314877,8429,323306
1727740800000,2024,5,9,5064587,3179396,8243983
1727740800000,2024,5,10,4105912,2938211,7044123
1727740800000,2024,5,11,5782026,1245889,7027915
1727740800000,2024,5,12,6089647,3432226,9521873
1727740800000,2024,5,13,2439721,278526,1124477
1727740800000,2024,5,14,9781082,12129440,21910522
1727740800000,2024,5,15,399785,51978,451763
1727740800000,2024,5,16,555827,221593,777420
1727740800000,2024,5,18,65509586,34618879,100128465
1727740800000,2024,5,19,55221863,30382801,85604664
1735689600000,2025,1,1,1758096,634525,2392621
1735689600000,2025,1,2,680473,592185,1272658
1735689600000,2025,1,3,332844,13547,346391
1735689600000,2025,1,4,786669,410377,1197046
1735689600000,2025,1,5,477302,116958,594260
1735689600000,2025,1,6,2217306,637455,2854761
1735689600000,2025,1,7,990696,206409,1197105
1735689600000,2025,1,8,78654,2824,81478
1735689600000,2025,1,9,1182267,782784,1965051
1735689600000,2025,1,10,1004521,719894,1724415
1735689600000,2025,1,11,1184655,319233,1503888
1735689600000,2025,1,12,1404499,883903,2288402
1735689600000,2025,1,13,494592,72797,567389
1735689600000,2025,1,14,2345823,2931193,5277016
1735689600000,2025,1,15,97594,14828,112422
1735689600000,2025,1,16,133096,62351,195447
1735689600000,2025,1,18,15169087,8401263,23570350
1735689600000,2025,1,19,12882317,7347308,20229625
1743465600000,2025,2,1,3559758,1538716,5098474
1743465600000,2025,2,2,1489416,1075235,2564651
1743465600000,2025,2,3,708400,28056,736456
1743465600000,2025,2,4,1651925,792462,2444387
1743465600000,2025,2,5,959721,230950,1190671
1743465600000,2025,2,6,4394795,1426683,5821478
1743465600000,2025,2,7,2065675,406929,2472604
1743465600000,2025,2,8,161640,4747,166387
1743465600000,2025,2,9,2264757,1751854,4016611
1743465600000,2025,2,10,1986609,1444692,3431301
1743465600000,2025,2,11,2617306,610408,3227714
1743465600000,2025,2,12,2908425,1742920,4651345
1743465600000,2025,2,13,1156687,145188,1301875
1743465600000,2025,2,14,4915299,6035652,10950951
1743465600000,2025,2,15,204560,26713,231273
1743465600000,2025,2,16,272775,118544,391319
1743465600000,2025,2,18,31317748,17379749,48697497
1743465600000,2025,2,19,26509273,15297936,41807209
1751328000000,2025,3,1,5528366,2344173,7872539
1751328000000,2025,3,2,2279805,1588998,3868803
1751328000000,2025,3,3,1111896,45514,1157410
1751328000000,2025,3,4,2562586,1208448,3771034
1751328000000,2025,3,5,1519932,362049,1881981
1751328000000,2025,3,6,7259856,2220748,9480604
1751328000000,2025,3,7,3253780,637587,3891367
1751328000000,2025,3,8,240513,6547,247060
1751328000000,2025,3,9,3705550,2600165,6305715
1751328000000,2025,3,10,3125774,2406577,5532351
1751328000000,2025,3,11,4187645,963950,5151595
1751328000000,2025,3,12,4548968,2715193,7264161
1751328000000,2025,3,13,1881979,243604,2125583
1751328000000,2025,3,14,7245063,9598731,16843794
1751328000000,2025,3,15,322128,38372,360500
1751328000000,2025,3,16,409901,173714,583615
1751328000000,2025,3,18,49183742,27154370,76338112
1751328000000,2025,3,19,41548195,23745471,65293666
1759276800000,2025,5,1,7382730,3250524,10633254
1759276800000,2025,5,2,3121208,2109996,5231204
1759276800000,2025,5,3,1399111,59329,1458440
1759276800000,2025,5,4,3484720,1654330,5139050
1759276800000,2025,5,5,2154435,497085,2651520
1759276800000,2025,5,6,10011366,2953226,12964592
1759276800000,2025,5,7,4291891,944578,5236469
1759276800000,2025,5,8,324884,8334,333218
1759276800000,2025,5,9,5293653,3472459,8766112
1759276800000,2025,5,10,4445738,2900293,7346031
1759276800000,2025,5,11,5760526,1222481,6983007
1759276800000,2025,5,12,6296432,3614885,9911317
1759276800000,2025,5,13,2414955,276786,2691741
1759276800000,2025,5,14,10353924,13383492,23737416
1759276800000,2025,5,15,423944,55107,479051
1759276800000,2025,5,16,566830,222220,789050
1759276800000,2025,5,18,67726347,36625125,104351472
1759276800000,2025,5,19,57096139,32447244,89543383
1767225600000,2026,1,1,1671116,619148,2290264
1767225600000,2026,1,2,663448,655094,1318542
1767225600000,2026,1,3,322083,13271,335354
1767225600000,2026,1,4,796162,412121,1208283
1767225600000,2026,1,5,509812,121795,631607
